sampleID	hyenaID	matriline	DOB	age_yrs	reproductive_state	social_rank	standardized_social_rank	sample_date	sample_year	prey_abundance	alpha-diversity?	beta-diversity?	metagenomes?
P46	D1	1	25-Jun-96	4.92	lactating	1	1.00	26-May-01	2001	428.50	Yes	Yes	Yes
P47	D1	1	25-Jun-96	3.5	pregnant	1	1.00	10-Jan-00	2000	73.25	Yes	Yes	Yes
P48	D1	1	25-Jun-96	2.67	lactating	2	0.93	9-Mar-99	1999	42.75	Yes	Yes	No
P49	D2	2	28-Jun-03	12.83	lactating	NA	NA	24-May-16	2016	119.33	Yes	Yes	No
P5	D3	3	7-Nov-92	11.17	lactating	14	-0.73	15-Jan-04	2004	14.50	Yes	Yes	No
P50	M2	2	23-Jul-94	3.25	nulliparous	11	0.28	2-Nov-97	1997	53.75	Yes	Yes	No
P51	G1	1	20-Mar-01	2.92	lactating	2	0.87	21-Feb-04	2004	70.50	Yes	Yes	No
P52	G2	2	20-Jul-08	2.83	nulliparous	28	-0.38	8-Jun-11	2011	102.44	Yes	Yes	No
P53	D4	4	4-Jan-92	9.25	lactating	18	-1.00	16-Apr-01	2001	257.75	Yes	Yes	No
P54	D4	4	4-Jan-92	11.33	lactating	17	-1.00	25-May-03	2003	31.25	Yes	Yes	No
P55	D4	4	4-Jan-92	14	pregnant	16	-0.88	24-Jan-06	2006	37.75	Yes	Yes	No
P56	M1	1	1-Jan-83	13.42	pregnant	1	1.00	19-Jun-96	1996	1094.00	Yes	Yes	No
P57	D3	3	7-Nov-92	10.75	lactating	15	-0.75	2-Sep-03	2003	280.00	Yes	Yes	No
P58	M3	3	1-Feb-85	9	lactating	7	0.47	14-Feb-94	1994	340.00	Yes	Yes	No
P59	M2	2	23-Jul-94	11.67	lactating	11	-0.25	10-Apr-06	2006	210.67	Yes	Yes	No
P6	D3	3	7-Nov-92	11.08	lactating	15	-0.75	25-Dec-03	2003	22.00	Yes	Yes	No
P60	D2	2	28-Jun-03	7.67	other	29	-0.43	27-Mar-11	2011	171.00	Yes	Yes	No
P61	G1	1	20-Mar-01	7.42	lactating	6	0.47	18-Sep-08	2008	412.00	Yes	Yes	No
P62	G1	1	20-Mar-01	3.83	lactating	4	0.66	5-Feb-05	2005	43.25	Yes	Yes	No
P63	G2	2	20-Jul-08	3.42	other	28	-0.38	23-Dec-11	2011	176.11	Yes	Yes	No
P64	M3	3	1-Feb-85	9.42	lactating	7	0.47	8-Jul-94	1994	312.50	Yes	Yes	No
P65	M2	2	23-Jul-94	6.83	lactating	7	0.29	11-Jun-01	2001	445.50	Yes	Yes	No
P66	D1	1	25-Jun-96	9.92	lactating	1	1.00	5-Jun-06	2006	122.33	Yes	Yes	No
P67	M1	1	1-Jan-83	14.25	lactating	1	1.00	26-Apr-97	1997	98.25	Yes	Yes	No
P68	D2	2	28-Jun-03	2.75	nulliparous	12	-0.38	2-Apr-06	2006	210.67	Yes	Yes	No
P69	D2	2	28-Jun-03	11.33	lactating	32	-0.37	13-Nov-14	2014	80.33	Yes	Yes	No
P7	G2	2	20-Jul-08	6.42	pregnant	NA	NA	16-Jan-15	2015	73.33	Yes	Yes	No
P70	G1	1	20-Mar-01	4.75	pregnant	4	0.66	26-Dec-05	2005	28.00	Yes	Yes	No
P71	M2	2	23-Jul-94	11.42	lactating	11	-0.25	2-Jan-06	2006	27.00	Yes	Yes	No
P72	M3	3	1-Feb-85	9.17	lactating	7	0.47	30-Apr-94	1994	267.25	Yes	Yes	No
P73	D4	4	4-Jan-92	3	lactating	18	-0.17	3-Feb-95	1995	404.75	Yes	Yes	No
P74	G1	1	20-Mar-01	12.83	other	16	0.33	24-Jan-14	2014	91.67	Yes	Yes	Yes
P75	D3	3	7-Nov-92	8.25	lactating	12	-0.29	21-Feb-01	2001	242.25	Yes	Yes	Yes
P76	G3	3	2-Mar-07	3.83	lactating	39	-0.94	11-Jan-11	2011	142.56	Yes	Yes	No
P77	D2	2	28-Jun-03	9.75	lactating	32	-0.31	26-Apr-13	2013	131.33	Yes	Yes	No
P78	D3	3	7-Nov-92	18.83	other	32	-0.58	1-Oct-11	2011	70.17	Yes	Yes	No
P79	D2	2	28-Jun-03	7.25	lactating	21	-0.42	21-Oct-10	2010	577.67	Yes	Yes	No
P8	G3	3	2-Mar-07	4.25	lactating	39	-0.94	22-Jun-11	2011	61.33	Yes	Yes	No
P80	M2	2	23-Jul-94	11.58	lactating	11	-0.25	7-Mar-06	2006	42.33	Yes	Yes	No
P81	D1	1	25-Jun-96	10	lactating	1	1.00	2-Jul-06	2006	80.50	Yes	Yes	No
P82	G1	1	20-Mar-01	14.25	lactating	NA	NA	10-Jul-15	2015	255.00	Yes	Yes	Yes
P83	M2	2	23-Jul-94	12.08	lactating	11	-0.25	18-Sep-06	2006	80.67	Yes	Yes	No
P84	G3	3	2-Mar-07	7.08	lactating	45	-0.95	26-Apr-14	2014	93.67	Yes	Yes	Yes
P85	M2	2	23-Jul-94	17.08	other	25	-0.23	15-Sep-11	2011	64.33	Yes	Yes	No
P86	D4	4	4-Jan-92	4.08	lactating	21	-0.37	1-Mar-96	1996	271.67	Yes	Yes	No
P87	G2	2	20-Jul-08	6.33	pregnant	31	-0.33	13-Dec-14	2014	136.00	Yes	Yes	No
P88	M2	2	23-Jul-94	7.25	pregnant	7	0.29	19-Nov-01	2001	242.50	Yes	Yes	No
P89	M2	2	23-Jul-94	4.92	lactating	10	0.40	18-Jul-99	1999	235.50	Yes	Yes	No
P9	D3	3	7-Nov-92	8.08	lactating	10	-0.20	31-Dec-00	2000	138.00	Yes	Yes	Yes
P90	D3	3	7-Nov-92	12.5	lactating	16	-0.66	11-May-05	2005	24.67	Yes	Yes	No
P91	M2	2	23-Jul-94	7.25	pregnant	7	0.29	9-Nov-01	2001	183.50	Yes	Yes	No
P92	M3	3	1-Feb-85	10	pregnant	11	0.31	13-Feb-95	1995	404.75	Yes	Yes	No
P93	G3	3	2-Mar-07	4.33	lactating	39	-0.94	9-Jul-11	2011	442.50	Yes	Yes	No
P94	D4	4	4-Jan-92	8	lactating	15	-0.86	31-Jan-00	2000	108.50	Yes	Yes	No
P95	D1	1	25-Jun-96	9.75	lactating	1	1.00	26-Mar-06	2006	98.67	Yes	Yes	No
P96	G4	4	4-Mar-03	10.83	lactating	40	-0.73	8-Jan-14	2014	81.83	Yes	Yes	No
P98	G2	2	20-Jul-08	5.67	lactating	31	-0.33	10-Apr-14	2014	91.17	Yes	Yes	No
P99	M2	2	23-Jul-94	11.75	lactating	11	-0.25	14-May-06	2006	179.83	Yes	Yes	No
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
