sampleID	hyenaID	matriline	DOB	age_yrs	reproductive_state	social_rank	standardized_social_rank	sample_date	sample_year	prey_abundance	alpha-diversity?	beta-diversity?	metagenomes?
P150	D1	1	25-Jun-96	7.25	lactating	1	1.00	2-Oct-03	2003	83.50	Yes	Yes	No
P151	G4	4	4-Mar-03	5.17	lactating	18	-0.79	12-May-08	2008	189.88	Yes	Yes	No
P152	G2	2	20-Jul-08	7.75	pregnant	NA	NA	22-Apr-16	2016	170.33	Yes	Yes	No
P153	D4	4	4-Jan-92	8.5	lactating	15	-0.86	28-Jul-00	2000	65.75	Yes	Yes	No
P154	D1	1	25-Jun-96	7.5	lactating	1	1.00	25-Dec-03	2003	22.00	Yes	Yes	No
P155	D2	2	28-Jun-03	10	lactating	32	-0.31	10-Jul-13	2013	180.38	Yes	Yes	No
P156	M1	1	1-Jan-83	10.92	lactating	1	1.00	29-Dec-93	1993	64.50	Yes	Yes	No
P157	D3	3	7-Nov-92	13.08	lactating	14	-0.63	2-Jan-06	2006	27.00	Yes	Yes	No
P158	D2	2	28-Jun-03	8.67	lactating	36	-0.37	8-Mar-12	2012	92.00	Yes	Yes	No
P159	D3	3	7-Nov-92	13.17	lactating	14	-0.63	20-Jan-06	2006	37.75	Yes	Yes	No
P16	D3	3	7-Nov-92	4.67	lactating	15	0.00	28-Jul-97	1997	184.00	Yes	Yes	No
P160	G1	1	20-Mar-01	7.75	lactating	6	0.52	5-Jan-09	2009	3.00	Yes	Yes	No
P161	D1	1	25-Jun-96	10.42	lactating	1	1.00	5-Dec-06	2006	21.80	Yes	Yes	No
P162	G2	2	20-Jul-08	4.17	lactating	35	-0.33	27-Sep-12	2012	151.75	Yes	Yes	No
P163	M4	4	1-Mar-87	6.33	lactating	9	0.20	31-Jul-93	1993	885.25	Yes	Yes	No
P164	D2	2	28-Jun-03	2.92	nulliparous	12	-0.38	5-Jun-06	2006	122.33	Yes	Yes	No
P165	D2	2	28-Jun-03	11.08	lactating	32	-0.37	19-Aug-14	2014	422.75	Yes	Yes	No
P166	D3	3	7-Nov-92	15.17	lactating	16	-0.57	26-Jan-08	2008	64.40	Yes	Yes	No
P167	D1	1	25-Jun-96	3.83	lactating	1	1.00	27-Apr-00	2000	63.00	Yes	Yes	Yes
P169	D3	3	7-Nov-92	9.25	lactating	12	-0.29	1-Mar-02	2002	186.17	Yes	Yes	No
P17	D1	1	25-Jun-96	4.5	other	1	1.00	27-Dec-00	2000	138.00	Yes	Yes	Yes
P170	D4	4	4-Jan-92	5.33	lactating	21	-0.37	15-May-97	1997	101.25	Yes	Yes	No
P171	D3	3	7-Nov-92	16.83	lactating	17	-0.52	8-Sep-09	2009	102.40	Yes	Yes	No
P172	G2	2	20-Jul-08	4.5	lactating	31	-0.27	3-Feb-13	2013	111.33	Yes	Yes	No
P173	G4	4	4-Mar-03	6.25	other	18	-0.61	21-Jun-09	2009	NA	No	No	No
P174	G3	3	2-Mar-07	5.92	lactating	46	-0.91	27-Feb-13	2013	105.50	Yes	Yes	No
P175	D3	3	7-Nov-92	16.75	lactating	17	-0.52	1-Sep-09	2009	153.00	Yes	Yes	No
P176	D3	3	7-Nov-92	11.5	other	14	-0.73	13-May-04	2004	1.00	Yes	Yes	No
P177	G4	4	4-Mar-03	8.25	lactating	34	-0.69	22-Jun-11	2011	61.33	Yes	Yes	No
P178	G1	1	20-Mar-01	12.25	lactating	15	0.40	5-Jul-13	2013	180.38	Yes	Yes	Yes
P179	G3	3	2-Mar-07	8.33	lactating	NA	NA	8-Jul-15	2015	255.00	Yes	Yes	Yes
P18	M2	2	23-Jul-94	11.5	lactating	11	-0.25	21-Feb-06	2006	43.00	Yes	Yes	No
P180	G4	4	4-Mar-03	9.25	lactating	45	-0.72	10-Jun-12	2012	64.00	Yes	Yes	No
P181	M3	3	1-Feb-85	9.58	lactating	7	0.47	5-Sep-94	1994	346.50	Yes	Yes	No
P182	D3	3	7-Nov-92	9.33	lactating	12	-0.29	30-Mar-02	2002	289.00	Yes	Yes	No
P183	D3	3	7-Nov-92	19.83	other	43	-0.64	21-Sep-12	2012	156.00	Yes	Yes	No
P184	M2	2	23-Jul-94	17.83	other	32	-0.21	10-Jun-12	2012	64.00	Yes	Yes	No
P185	M3	3	1-Feb-85	8.25	lactating	5	0.60	2-May-93	1993	67.25	Yes	Yes	No
P186	D3	3	7-Nov-92	8.08	lactating	10	-0.20	12-Dec-00	2000	191.75	Yes	Yes	Yes
P187	M2	2	23-Jul-94	11.92	lactating	11	-0.25	8-Jul-06	2006	80.50	Yes	Yes	No
P188	G4	4	4-Mar-03	8.42	pregnant	34	-0.69	1-Sep-11	2011	465.67	Yes	Yes	No
P189	D3	3	7-Nov-92	14.92	lactating	12	-0.46	16-Oct-07	2007	533.83	Yes	Yes	No
