Genome	D1_P102_M Relative Abundance (%)	D1_P107_M Relative Abundance (%)	D1_P167_M Relative Abundance (%)	D1_P225_M Relative Abundance (%)	D1_P295_M Relative Abundance (%)	D1_P304_M Relative Abundance (%)	D1_P46_M Relative Abundance (%)	D1_P47_M Relative Abundance (%)	D3_P186_M Relative Abundance (%)	D3_P190_M Relative Abundance (%)	D3_P191_M Relative Abundance (%)	D3_P265_M Relative Abundance (%)	D3_P266_M Relative Abundance (%)	D3_P41_M Relative Abundance (%)	D3_P75_M Relative Abundance (%)	D3_P9_M Relative Abundance (%)	G1_P178_M Relative Abundance (%)	G1_P196_M Relative Abundance (%)	G1_P276_M Relative Abundance (%)	G1_P291_M Relative Abundance (%)	G1_P294_M Relative Abundance (%)	G1_P43_M Relative Abundance (%)	G1_P74_M Relative Abundance (%)	G1_P82_M Relative Abundance (%)	G3_P143_M Relative Abundance (%)	G3_P149_M Relative Abundance (%)	G3_P14_M Relative Abundance (%)	G3_P179_M Relative Abundance (%)	G3_P212_M Relative Abundance (%)	G3_P261_M Relative Abundance (%)	G3_P301_M Relative Abundance (%)	G3_P84_M Relative Abundance (%)
D3_bin.48	0.000062915824	0.000783506	0.000056042863	0.0008239753	0.000084999316	0.00067800476	0.00006565092	0.00015837279	0.0071793767	0.39897132	0.0022443733	0.0024470116	0.00019139457	0.0036934738	0.022695128	0.002591927	0.0029997774	0.00039909224	0.000025339972	0.0001465459	0.0021690272	0.0062750257	0.00021532546	0.0012826613	0.00027215548	0.0013599644	0.0002533796	0.00070977776	0.000095172574	0.00022066872	0.0000201524	0.0010173563
D3_bin.49	0.0056549455	0.00018287057	0.0006303947	0.00081926427	0.001959195	0.023243496	0.0014661464	0.0025302407	0.6959669	0.0009747949	0.0020347408	0.000817596	0.0020346153	0.006939175	0.005410079	0.010816454	0.0026738287	0.00515571	0.004248355	0.0015210325	0.004153114	0.0066763787	0.00048068928	0.0033173661	0.00094034994	0.039770126	0.0064472673	0.041665852	0.0018935713	0.003185738	0.0011699098	0.0037765587
D3_bin.4	0.005785153	0.004819318	0.008362068	0.0003519075	0.0033529017	0.00022803244	0.00030405866	0.011722075	0.00066733744	0.03945965	0.13683033	0.00021703189	0.00024113266	1.8485521	0.0027952495	0.014764705	0.007499049	0.017739894	0.011632839	0.0033741046	0.012079587	0.00004369188	0.02469006	0.00071846833	0.00032792724	0.002751243	0.00023405823	0.0097184945	0.009279819	0.001523553	0.00008723642	0.005988107
D3_bin.50	0.000292644	0.00022811761	0.00019145406	0.00018734016	0.00004210239	0.00011580033	0.00070231175	0.0011037535	0.0029731803	0.07286616	0.0006894975	0.0011173122	0.0028864695	0.0010086845	0.9938087	0.30152696	0.00073933974	0.00021499168	0.0001602573	0.00013960006	0.0003529848	0.0015415377	0.0036174392	0.000918045	0.000005418288	0.00086387276	0.000090904425	0.00036263	0.0019233695	0.00081644795	0.0023011726	0.0006612487
D3_bin.53	0.0021263594	0.0017195364	0.0027054648	0.00014450582	0.0015519017	0.0008475399	0.00011123449	0.0035390519	0.00020723107	0.009659505	0.03827126	0.00013170842	0.00008726125	0.8017843	0.0010185562	0.008973845	0.0017332546	0.0054677	0.0039075087	0.0020366474	0.003389071	0.00012790556	0.010515342	0.00088931806	0.00023770977	0.00090948766	0.00026055516	0.0037047523	0.0025169516	0.0005142228	0.00007037138	0.0025009653
D3_bin.55	0.0017504604	0.0014512801	0.000028663047	0.000047947018	0.0011793504	0.0001609556	0.000036965153	0.004973487	0.00025029748	0.008646817	0.012371707	0.00008238736	0.000041205396	0.7705478	0.0012892328	0.008519535	0.0024507067	0.00342476	0.0017203405	0.0011805453	0.0015452617	0.00004089518	0.004201303	0.00022301664	0.00008973734	0.0008218163	0.00002455672	0.0020315575	0.002454527	0.00043601607	0.000014434525	0.0014198298
D3_bin.56	0.08470324	0.4750118	0.20971942	0.043486945	0.0093950275	0.15301117	0.04574317	0.13547821	1.6838295	0.12654793	0.023156047	0.05335247	0.111124866	0.3387944	0.132837	0.025701417	0.07420118	0.09233729	0.22767639	0.1144855	0.1486399	0.087591425	0.3146108	0.013195168	0.19235504	0.037253488	0.010669268	0.019856362	0.4672845	0.012854721	0.013481052	1.2976149
D3_bin.5	0.0006395241	0.0007749661	0.0064265076	0.000104902814	0.000048509162	0.00005921401	0.0010129414	0.00020576925	0.022210574	0.003191098	0.00023240945	0.011208191	0.00010072212	0.00036221533	0.002571786	0.47267887	0.000024428353	0.000104580315	0.0015942686	0.000017932682	0.00014253001	0.0006036342	0.0004763292	0.00060033594	0.00011918553	0.006043501	0.0109935505	0.00003558582	0.000018446315	0.0007104488	0.000085327556	0.0059497743
D3_bin.60	0.04870938	0.9567212	0.00021936647	0.0041055707	0.009028209	0.029474735	0.0016028013	0.098803334	0.17145437	0.004768487	0.0019609972	0.12956855	0.014856837	0.33966246	0.24246547	0.00057432	0.0019452124	0.0009438649	0.0007061533	0.0021722042	0.00010003455	0.0004166777	0.0012828613	0.00052827207	0.00027211595	0.0002979093	0.00023345723	0.00034707235	0.00058106193	0.0009798936	0.0005421436	0.0005859733
D3_bin.61	2.260053	0.051384464	0.23174927	0.9132172	0.100936644	0.06511147	0.09462917	0.26063466	0.15554804	4.273558	0.12730418	0.11035994	0.06990646	0.72128767	0.09772884	0.50773305	0.024998872	0.091417074	0.24680096	0.06426806	0.28568414	0.10181454	0.076057896	0.20092306	0.041065954	0.30537483	0.021962672	0.11886612	0.15472521	0.028129552	0.18376628	0.15742472
D3_bin.62	0.00056404644	0.003031334	0.00016867576	0.0006302531	0.00067100977	0.0017120744	0.0027712886	0.0017592765	0.37966102	0.021537168	0.011904778	0.0037817224	0.0016247953	0.041887797	0.05254612	0.6791897	0.00024676122	0.003326216	0.00044964752	0.00017484697	0.00047267572	0.0010866345	0.0011483878	0.00094606355	0.004507561	0.056344517	0.015280046	0.00017280341	0.00008991459	0.0154723525	0.00076371606	0.00031008944
D3_bin.63	0.18176422	0.01741635	0.116573386	0.0463257	0.3017645	0.09327664	0.048101492	0.016761411	0.052342363	0.17427655	0.07077519	0.03445967	0.058872066	0.09863091	0.08164287	0.052892838	0.111478165	0.369496	0.79068005	0.8609732	0.23347272	0.37161306	0.010373183	2.0142746	0.077246994	1.1279229	0.35237846	1.1286352	0.04269194	0.8195974	0.5443732	0.020686805
D3_bin.64	0.0034404774	0.0005149674	0.0010406947	0.00065396435	0.0000036881017	0.000014862332	0.00041275713	0.00087760016	0.00039549096	0.3266504	0.0013642473	0.00025753633	0.000016316419	0.00018068275	0.0001591905	0.0034247118	0.00054903066	0.000057001107	0.0002440105	0.0000014940669	0.00014979155	0.0000248476	0.00012698713	0.00003844951	0.000022670385	0.00011077706	0.00012133831	0.00038078843	0.0000139234335	0.0017022801	0.0001325375	0.0007382494
D3_bin.65	0.08181444	0.27776405	0.0010876857	0.004037029	0.0011452085	0.019003352	0.004813052	0.11794955	0.21554391	0.088191584	0.00028968643	0.07017311	0.0054355483	0.0010070403	0.97818005	0.0005766028	0.00065259734	0.0007623742	0.000015908561	0.00038258205	0.0000010033627	0.0011478341	0.0002365309	0.00007368421	0.000011301496	0.00001827197	0.0000028960785	0.000076702745	0.0019498572	0.00030646555	0.0019186995	0.00017043085
D3_bin.66	0.0002026775	0.0003392535	0.000040611598	0.000037427984	0.00054419826	0.00018005067	0.00012519649	0.00012138111	0.0002105173	0.0009394602	0.00008355068	0.00037614215	0.00008913262	0.2206712	0.025250502	0.021204019	0.00007250542	0.0019729636	0.00061754475	0.00060407876	0.00028601245	0.00062161946	0.0010506342	0.00036444247	0.00014383651	0.0012046177	0.00011938517	0.00032066143	0.00013013314	0.00032432633	0.00017326316	0.0003365351
D3_bin.67	0.10205334	0.003910162	0.012306463	0.009467215	0.0021907233	0.014308706	0.020980544	0.22039233	0.0071259495	0.16907218	0.06308147	0.004206614	0.0093630925	0.065651886	0.025399573	0.044375144	0.06330259	0.09651163	0.03323249	0.0054054423	0.09653706	0.01596409	0.0077837906	0.025333107	0.006668239	0.023539992	0.000588857	0.027959572	0.0155983865	0.01099781	0.004240388	0.0037708327
