key,value,acc
size_fraction_upper_threshold_sam,3,ERR598980
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR599297
size_fraction_upper_threshold_sam,>,ERR599297
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599171
size_fraction_upper_threshold_sam,3,ERR599171
size_fraction_lower_threshold_sam_s_dpl49,180,ERR4691679
size_fraction_upper_threshold_sam,2000,ERR4691679
size_fraction_lower_threshold_sam_s_dpl49,3,ERR4691633
size_fraction_upper_threshold_sam,20,ERR4691633
sample_size_fraction_lower_threshold_sam,extra_value_found,ERR4674776
sample_size_fraction_upper_threshold_sam,extra_value_found,ERR4674776
size_fraction_sam,0.22-2.7 micrometer,ERR3256969
size_fraction_lower_threshold_sam_s_dpl49,0.2,ERR2223329
size_fraction_upper_threshold_sam,3,ERR2223329
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4227250
size_fraction_upper_threshold_sam,>,ERR4227250
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1879683
size_fraction_upper_threshold_sam,20,ERR1879683
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1879698
size_fraction_upper_threshold_sam,2000,ERR1879698
size_fraction_lower_threshold_sam_s_dpl49,5,ERR562513
size_fraction_upper_threshold_sam,20,ERR562513
size_fraction_lower_threshold_sam_s_dpl49,5,ERR562494
size_fraction_upper_threshold_sam,20,ERR562494
size_fraction_lower_threshold_sam_s_dpl49,180,ERR562511
size_fraction_upper_threshold_sam,2000,ERR562511
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1756273
size_fraction_upper_threshold_sam,180,ERR1756273
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1756292
size_fraction_upper_threshold_sam,2000,ERR1756292
size_fraction_lower_threshold_sam_s_dpl49,20,ERR562699
size_fraction_upper_threshold_sam,180,ERR562699
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1756209
size_fraction_upper_threshold_sam,20,ERR1756209
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756329
size_fraction_upper_threshold_sam,5,ERR1756329
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093606
size_fraction_upper_threshold_sam,3,ERR6093606
size_fraction_lower_threshold_sam_s_dpl49,5,ERR562636
size_fraction_upper_threshold_sam,20,ERR562636
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756323
size_fraction_upper_threshold_sam,5,ERR1756323
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1879662
size_fraction_upper_threshold_sam,200,ERR1879662
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756250
size_fraction_upper_threshold_sam,5,ERR1756250
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1759705
size_fraction_upper_threshold_sam,2000,ERR1759705
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879930
size_fraction_upper_threshold_sam,5,ERR1879930
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1756176
size_fraction_upper_threshold_sam,180,ERR1756176
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR3518674
size_fraction_upper_threshold_sam,>,ERR3518674
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR3518791
size_fraction_upper_threshold_sam,>,ERR3518791
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6090724
size_fraction_upper_threshold_sam,3,ERR6090724
size_fraction_lower_threshold_sam_s_dpl49,3,ERR3518662
size_fraction_upper_threshold_sam,20,ERR3518662
size_frac_sam,0-0.45 micrometer,SRR9161584
size_frac_sam,0-0.45 micrometer,SRR9161532
size_fraction_lower_threshold_sam_s_dpl49,0.22 um,ERR1855269
size_fraction_lower_threshold_sam_s_dpl49,0.22 um,ERR1855288
size_fraction_lower_threshold_sam_s_dpl49,0.22 um,ERR1855254
size_fraction_lower_threshold_sam_s_dpl49,20,ERR2098378
size_fraction_upper_threshold_sam,>20,ERR2098378
filter_fraction__um__sam,0.22 â?? 3,SRR2053306
filter_fraction__um__sam,0.22 â?? 3,SRR2053279
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR3995349
size_fraction_upper_threshold_sam,2.7,ERR3995349
size_fraction_microns_sam,0_3_to_3_microns,SRR1298810
size_frac_sam,> 0.1 um,SRR11614988
size_fraction_lower_threshold_sam_s_dpl49,0.2,ERR2002390
size_fraction_sam,1.6-0.2um,SRR8075938
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726978
size_fraction_upper_threshold_sam,2000,ERR1726978
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868395
size_fraction_upper_threshold_sam,5,ERR868395
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR599327
size_fraction_upper_threshold_sam,5,ERR599327
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599058
size_fraction_upper_threshold_sam,3,ERR599058
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726531
size_fraction_upper_threshold_sam,2000,ERR1726531
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726529
size_fraction_upper_threshold_sam,180,ERR1726529
size_fraction_lower_threshold_sam_s_dpl49,<,ERR599364
size_fraction_upper_threshold_sam,0.22,ERR599364
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726909
size_fraction_upper_threshold_sam,2000,ERR1726909
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726867
size_fraction_upper_threshold_sam,180,ERR1726867
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691854
size_fraction_upper_threshold_sam,>,ERR4691854
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1726972
size_fraction_upper_threshold_sam,>,ERR1726972
sample_size_fraction_lower_threshold_sam,extra_value_found,ERR4674641
sample_size_fraction_upper_threshold_sam,extra_value_found,ERR4674641
size_fraction_sam,0.22-2.7 micrometer,ERR3256951
size_fraction_lower_threshold_sam_s_dpl49,180,ERR566174
size_fraction_upper_threshold_sam,2000,ERR566174
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4227183
size_fraction_upper_threshold_sam,>,ERR4227183
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879787
size_fraction_upper_threshold_sam,>,ERR1879787
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1756125
size_fraction_upper_threshold_sam,2000,ERR1756125
size_fraction_lower_threshold_sam_s_dpl49,180,ERR562708
size_fraction_upper_threshold_sam,2000,ERR562708
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1756016
size_fraction_upper_threshold_sam,2000,ERR1756016
size_fraction_lower_threshold_sam_s_dpl49,20,ERR562598
size_fraction_upper_threshold_sam,180,ERR562598
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1755926
size_fraction_upper_threshold_sam,2000,ERR1755926
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1755937
size_fraction_upper_threshold_sam,5,ERR1755937
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879878
size_fraction_upper_threshold_sam,>,ERR1879878
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1756261
size_fraction_upper_threshold_sam,2000,ERR1756261
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1756282
size_fraction_upper_threshold_sam,180,ERR1756282
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879712
size_fraction_upper_threshold_sam,3,ERR1879712
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756095
size_fraction_upper_threshold_sam,5,ERR1756095
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1756287
size_fraction_upper_threshold_sam,2000,ERR1756287
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093669
size_fraction_upper_threshold_sam,3,ERR6093669
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4227160
size_fraction_upper_threshold_sam,>,ERR4227160
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1755956
size_fraction_upper_threshold_sam,180,ERR1755956
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1755901
size_fraction_upper_threshold_sam,180,ERR1755901
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR654521
size_fraction_upper_threshold_sam,5,ERR654521
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1755898
size_fraction_upper_threshold_sam,180,ERR1755898
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6090714
size_fraction_upper_threshold_sam,3,ERR6090714
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR3518707
size_fraction_upper_threshold_sam,>,ERR3518707
size_fraction_lower_threshold_sam_s_dpl49,180,ERR3518748
size_fraction_upper_threshold_sam,2000,ERR3518748
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4223609
size_fraction_upper_threshold_sam,>,ERR4223609
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR873960
size_fraction_upper_threshold_sam,3,ERR873960
size_fraction_lower_threshold_sam_s_dpl49,0.22 um,ERR1855256
size_fraction_lower_threshold_sam_s_dpl49,dissolved,ERR2002436
size_frac_sam,> 0.7 um,SRR12347139
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR2098409
size_fraction_upper_threshold_sam,3,ERR2098409
size_fraction_lower_threshold_sam_s_dpl49,3,ERR2002442
size_fraction_sam,1.6-0.2um,SRR8075953
size_fraction_sam,1.6-0.2um,SRR8075937
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599090
size_fraction_upper_threshold_sam,3,ERR599090
size_fraction_lower_threshold_sam_s_dpl49,180,ERR4691769
size_fraction_upper_threshold_sam,2000,ERR4691769
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1726959
size_fraction_upper_threshold_sam,20,ERR1726959
size_fraction_lower_threshold_sam_s_dpl49,20,ERR599269
size_fraction_upper_threshold_sam,180,ERR599269
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2752163
size_fraction_upper_threshold_sam,0.22,ERR2752163
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691727
size_fraction_upper_threshold_sam,5,ERR4691727
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2750829
size_fraction_upper_threshold_sam,0.22,ERR2750829
size_fraction_lower_threshold_sam_s_dpl49,<,ERR594401
size_fraction_upper_threshold_sam,0.22,ERR594401
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726893
size_fraction_upper_threshold_sam,180,ERR1726893
size_fraction_lower_threshold_sam_s_dpl49,20,ERR599301
size_fraction_upper_threshold_sam,180,ERR599301
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599176
size_fraction_upper_threshold_sam,3,ERR599176
size_fraction_lower_threshold_sam_s_dpl49,<,ERR599372
size_fraction_upper_threshold_sam,0.22,ERR599372
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868511
size_fraction_upper_threshold_sam,5,ERR868511
size_fraction_lower_threshold_sam_s_dpl49,<,ERR594400
size_fraction_upper_threshold_sam,0.22,ERR594400
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR598953
size_fraction_upper_threshold_sam,3,ERR598953
size_fraction_lower_threshold_sam_s_dpl49,<,ERR599368
size_fraction_upper_threshold_sam,0.22,ERR599368
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2752149
size_fraction_upper_threshold_sam,0.22,ERR2752149
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2762102
size_fraction_upper_threshold_sam,0.22,ERR2762102
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2762122
size_fraction_upper_threshold_sam,0.22,ERR2762122
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2762188
size_fraction_upper_threshold_sam,0.22,ERR2762188
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691638
size_fraction_upper_threshold_sam,>,ERR4691638
sample_size_fraction_lower_threshold_sam,0.22,ERR4674200
sample_size_fraction_upper_threshold_sam,no prefiltration,ERR4674200
size_fraction_upper_threshold_sam,64um,ERR2194462
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1755959
size_fraction_upper_threshold_sam,2000,ERR1755959
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1756000
size_fraction_upper_threshold_sam,180,ERR1756000
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756219
size_fraction_upper_threshold_sam,5,ERR1756219
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879935
size_fraction_upper_threshold_sam,3,ERR1879935
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093634
size_fraction_upper_threshold_sam,3,ERR6093634
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR562690
size_fraction_upper_threshold_sam,5,ERR562690
size_fraction_lower_threshold_sam_s_dpl49,3,ERR1879809
size_fraction_upper_threshold_sam,>,ERR1879809
size_fraction_lower_threshold_sam_s_dpl49,180,ERR562395
size_fraction_upper_threshold_sam,2000,ERR562395
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1879908
size_fraction_upper_threshold_sam,20,ERR1879908
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1879825
size_fraction_upper_threshold_sam,20,ERR1879825
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR562729
size_fraction_upper_threshold_sam,5,ERR562729
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1755960
size_fraction_upper_threshold_sam,5,ERR1755960
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1879842
size_fraction_upper_threshold_sam,20,ERR1879842
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1756047
size_fraction_upper_threshold_sam,180,ERR1756047
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879688
size_fraction_upper_threshold_sam,>,ERR1879688
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1755981
size_fraction_upper_threshold_sam,2000,ERR1755981
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1756021
size_fraction_upper_threshold_sam,2000,ERR1756021
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4227231
size_fraction_upper_threshold_sam,>,ERR4227231
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4223626
size_fraction_upper_threshold_sam,>,ERR4223626
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR3518669
size_fraction_upper_threshold_sam,>,ERR3518669
size_fraction_lower_threshold_sam_s_dpl49,3,ERR3518789
size_fraction_upper_threshold_sam,20,ERR3518789
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR3518728
size_fraction_upper_threshold_sam,>,ERR3518728
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR315863
size_fraction_upper_threshold_sam,1.6,ERR315863
size_fraction_lower_threshold_sam_s_dpl49,<,ERR594408
size_fraction_upper_threshold_sam,0.22,ERR594408
filter_fraction__um__sam,0.22 â?? 3,SRR2032810
filter_fraction__um__sam,0.22 â?? 3,SRR2053305
size_frac_sam,NA,SRR14874047
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR3991265
size_fraction_upper_threshold_sam,2.7,ERR3991265
size_fraction_lower_threshold_sam_s_dpl49,3,ERR2002414
size_fraction_sam,1.6-0.2um,SRR8075943
size_fraction_sam,>0.2,ERR2497729
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR318621
size_fraction_upper_threshold_sam,1.6,ERR318621
size_fraction_lower_threshold_sam_s_dpl49,5,ERR4691777
size_fraction_upper_threshold_sam,20,ERR4691777
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726945
size_fraction_upper_threshold_sam,180,ERR1726945
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1726677
size_fraction_upper_threshold_sam,20,ERR1726677
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR598977
size_fraction_upper_threshold_sam,1.6,ERR598977
size_fraction_lower_threshold_sam_s_dpl49,0.1,ERR594293
size_fraction_upper_threshold_sam,0.22,ERR594293
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR599323
size_fraction_upper_threshold_sam,5,ERR599323
size_fraction_lower_threshold_sam_s_dpl49,180,ERR599259
size_fraction_upper_threshold_sam,2000,ERR599259
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726953
size_fraction_upper_threshold_sam,2000,ERR1726953
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868397
size_fraction_upper_threshold_sam,5,ERR868397
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1726849
size_fraction_upper_threshold_sam,20,ERR1726849
size_fraction_lower_threshold_sam_s_dpl49,<,ERR599360
size_fraction_upper_threshold_sam,0.22,ERR599360
size_fraction_lower_threshold_sam_s_dpl49,20,ERR599299
size_fraction_upper_threshold_sam,180,ERR599299
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691621
size_fraction_upper_threshold_sam,>,ERR4691621
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691607
size_fraction_upper_threshold_sam,>,ERR4691607
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2762175
size_fraction_upper_threshold_sam,0.22,ERR2762175
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR3589568
size_fraction_upper_threshold_sam,3,ERR3589568
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691587
size_fraction_upper_threshold_sam,>,ERR4691587
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1756033
size_fraction_upper_threshold_sam,180,ERR1756033
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093636
size_fraction_upper_threshold_sam,3,ERR6093636
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1756215
size_fraction_upper_threshold_sam,2000,ERR1756215
size_fraction_lower_threshold_sam_s_dpl49,3,ERR1879798
size_fraction_upper_threshold_sam,>,ERR1879798
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1755905
size_fraction_upper_threshold_sam,2000,ERR1755905
size_fraction_lower_threshold_sam_s_dpl49,20,ERR562487
size_fraction_upper_threshold_sam,180,ERR562487
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1756231
size_fraction_upper_threshold_sam,180,ERR1756231
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756182
size_fraction_upper_threshold_sam,5,ERR1756182
size_fraction_lower_threshold_sam_s_dpl49,20,ERR562599
size_fraction_upper_threshold_sam,180,ERR562599
size_fraction_lower_threshold_sam_s_dpl49,180,ERR562362
size_fraction_upper_threshold_sam,2000,ERR562362
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4227211
size_fraction_upper_threshold_sam,>,ERR4227211
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR562475
size_fraction_upper_threshold_sam,5,ERR562475
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR562588
size_fraction_upper_threshold_sam,5,ERR562588
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1759706
size_fraction_upper_threshold_sam,2000,ERR1759706
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR562603
size_fraction_upper_threshold_sam,5,ERR562603
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879927
size_fraction_upper_threshold_sam,>,ERR1879927
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1755927
size_fraction_upper_threshold_sam,180,ERR1755927
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1755985
size_fraction_upper_threshold_sam,180,ERR1755985
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879873
size_fraction_upper_threshold_sam,>,ERR1879873
size_fraction_lower_threshold_sam_s_dpl49,180,ERR562707
size_fraction_upper_threshold_sam,2000,ERR562707
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6090715
size_fraction_upper_threshold_sam,3,ERR6090715
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1700908
size_fraction_upper_threshold_sam,20,ERR1700908
size_fraction_lower_threshold_sam_s_dpl49,5,ERR599223
size_fraction_upper_threshold_sam,20,ERR599223
size_frac_sam,0-0.45 micrometer,SRR9161493
size_frac_sam,0-0.45 micrometer,SRR9161563
size_fraction_lower_threshold_sam_s_dpl49,3,ERR2196985
size_fraction_upper_threshold_sam,20,ERR2196985
size_fraction_lower_threshold_sam_s_dpl49,100KD,ERR3727696
size_fraction_upper_threshold_sam,0.22,ERR3727696
size_fraction_lower_threshold_sam_s_dpl49,100KD,ERR4013365
size_fraction_upper_threshold_sam,0.22,ERR4013365
size_fraction_lower_threshold_sam_s_dpl49,0.22 um,ERR1855245
size_fraction_sam,0.2-2.7µm,SRR8062330
size_fraction_sam,>0.2,ERR2497746
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691779
size_fraction_upper_threshold_sam,>,ERR4691779
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868394
size_fraction_upper_threshold_sam,5,ERR868394
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR599242
size_fraction_upper_threshold_sam,5,ERR599242
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599144
size_fraction_upper_threshold_sam,3,ERR599144
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868430
size_fraction_upper_threshold_sam,5,ERR868430
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1726898
size_fraction_upper_threshold_sam,5,ERR1726898
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726532
size_fraction_upper_threshold_sam,2000,ERR1726532
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868445
size_fraction_upper_threshold_sam,5,ERR868445
size_fraction_lower_threshold_sam_s_dpl49,180,ERR599265
size_fraction_upper_threshold_sam,2000,ERR599265
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR3589588
size_fraction_upper_threshold_sam,3,ERR3589588
size_fraction_lower_threshold_sam_s_dpl49,20,ERR4691683
size_fraction_upper_threshold_sam,180,ERR4691683
size_fraction_sam,0.22-2.7 micrometer,ERR3256971
size_fraction_sam,0-0.22 micrometer,ERR3256935
size_frac_sam,NA,SRR11590659
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093668
size_fraction_upper_threshold_sam,3,ERR6093668
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1755994
size_fraction_upper_threshold_sam,20,ERR1755994
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR562706
size_fraction_upper_threshold_sam,5,ERR562706
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1759716
size_fraction_upper_threshold_sam,200,ERR1759716
size_fraction_lower_threshold_sam_s_dpl49,3,ERR1879934
size_fraction_upper_threshold_sam,>,ERR1879934
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4227166
size_fraction_upper_threshold_sam,>,ERR4227166
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093685
size_fraction_upper_threshold_sam,3,ERR6093685
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1756058
size_fraction_upper_threshold_sam,180,ERR1756058
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1755929
size_fraction_upper_threshold_sam,20,ERR1755929
size_fraction_lower_threshold_sam_s_dpl49,20,ERR562609
size_fraction_upper_threshold_sam,180,ERR562609
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1755879
size_fraction_upper_threshold_sam,2000,ERR1755879
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1756150
size_fraction_upper_threshold_sam,180,ERR1756150
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1755958
size_fraction_upper_threshold_sam,2000,ERR1755958
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR654533
size_fraction_upper_threshold_sam,5,ERR654533
size_fraction_lower_threshold_sam_s_dpl49,20,ERR3518709
size_fraction_upper_threshold_sam,180,ERR3518709
size_fraction_lower_threshold_sam_s_dpl49,5,ERR599218
size_fraction_upper_threshold_sam,20,ERR599218
size_frac_sam,0-0.45 micrometer,SRR9161529
size_fraction_lower_threshold_sam_s_dpl49,0.22 um,ERR1855289
size_fraction_lower_threshold_sam_s_dpl49,0.22 um,ERR1855278
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR2098401
size_fraction_upper_threshold_sam,3,ERR2098401
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR2098379
size_fraction_upper_threshold_sam,3,ERR2098379
size_fraction_lower_threshold_sam_s_dpl49,3,ERR2002410
size_fraction_sam,1.6-0.2um,SRR8075930
size_fraction_sam,>0.2,ERR2497745
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1726699
size_fraction_upper_threshold_sam,5,ERR1726699
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599128
size_fraction_upper_threshold_sam,3,ERR599128
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726754
size_fraction_upper_threshold_sam,180,ERR1726754
size_fraction_lower_threshold_sam_s_dpl49,180,ERR4691845
size_fraction_upper_threshold_sam,2000,ERR4691845
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR599289
size_fraction_upper_threshold_sam,5,ERR599289
size_fraction_lower_threshold_sam_s_dpl49,0.45,ERR594306
size_fraction_upper_threshold_sam,0.8,ERR594306
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726544
size_fraction_upper_threshold_sam,180,ERR1726544
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868362
size_fraction_upper_threshold_sam,3,ERR868362
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599075
size_fraction_upper_threshold_sam,1.6,ERR599075
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726729
size_fraction_upper_threshold_sam,180,ERR1726729
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599054
size_fraction_upper_threshold_sam,1.6,ERR599054
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1726693
size_fraction_upper_threshold_sam,>,ERR1726693
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868428
size_fraction_upper_threshold_sam,5,ERR868428
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868425
size_fraction_upper_threshold_sam,5,ERR868425
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599174
size_fraction_upper_threshold_sam,3,ERR599174
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691786
size_fraction_upper_threshold_sam,>,ERR4691786
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599063
size_fraction_upper_threshold_sam,3,ERR599063
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599081
size_fraction_upper_threshold_sam,3,ERR599081
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726813
size_fraction_upper_threshold_sam,2000,ERR1726813
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726935
size_fraction_upper_threshold_sam,2000,ERR1726935
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR599324
size_fraction_upper_threshold_sam,5,ERR599324
size_fraction_lower_threshold_sam_s_dpl49,5,ERR4691830
size_fraction_upper_threshold_sam,20,ERR4691830
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1726815
size_fraction_upper_threshold_sam,20,ERR1726815
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691795
size_fraction_upper_threshold_sam,5,ERR4691795
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868500
size_fraction_upper_threshold_sam,5,ERR868500
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1726596
size_fraction_upper_threshold_sam,>,ERR1726596
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599175
size_fraction_upper_threshold_sam,3,ERR599175
size_fraction_lower_threshold_sam_s_dpl49,<,ERR2762150
size_fraction_upper_threshold_sam,0.22,ERR2762150
size_frac_sam,0-0.45 micrometer,SRR9161500
sample_size_fraction_lower_threshold_sam,0.22,ERR4674197
sample_size_fraction_upper_threshold_sam,no prefiltration,ERR4674197
sample_size_fraction_lower_threshold_sam,extra_value_found,ERR4674726
sample_size_fraction_upper_threshold_sam,no prefiltration,ERR4674726
size_fraction_lower_threshold_sam_s_dpl49,180,ERR562633
size_fraction_upper_threshold_sam,2000,ERR562633
