Genome	KRGM_100_5gb_M Relative Abundance (%)	KRGM_91_5gb_M Relative Abundance (%)	KRGM_92_5gb_M Relative Abundance (%)	KRGM_93_5gb_M Relative Abundance (%)	KRGM_94_5gb_M Relative Abundance (%)	KRGM_95_5gb_M Relative Abundance (%)	KRGM_96_5gb_M Relative Abundance (%)	KRGM_97_5gb_M Relative Abundance (%)	KRGM_98_5gb_M Relative Abundance (%)	KRGM_99_5gb_M Relative Abundance (%)
5_gb_bin.137	0.005103242	0.19184408	0.0010670876	0.0011761166	0.0014519675	0.00063815695	0.0004492093	0.07279453	0.030975467	0.15489744
5_gb_bin.138	0.043419167	0.19518639	0.032757174	0.11006535	0.06604632	0.08969018	0.007318342	0.52043533	0.5640357	1.518274
5_gb_bin.139	0.08388691	0.13978964	0.02596374	0.027633741	0.04211369	0.0098392675	0.035810784	0.09910223	0.0779655	0.05046908
5_gb_bin.13	0.010177685	0.041115765	0.008009107	0.30306932	0.0345051	0.0022708364	0.0424125	0.004534891	0.009288712	0.0021961203
5_gb_bin.140	0.014935426	0.4982315	0.11473654	0.032271795	0.05664463	0.020281564	0.061913062	0.16315843	0.12765646	0.39509273
5_gb_bin.141	0.5148267	0.0011949039	0.002055261	0.0014305051	0.012487088	0.0064373137	0.000492914	0.004316993	0.0040190076	0.00075129064
5_gb_bin.142	0.14493114	0.045529746	0.22218089	0.017483516	0.032378282	0.00074172986	0.0009122446	0.005087319	0.0062011415	0.017193733
5_gb_bin.143	0.0018966962	0.0014607614	0.001962807	0.002782512	0.0013508864	0.6767126	0.005230036	0.0067105778	0.0215486	0.0022463975
5_gb_bin.144	0	0.046658542	0	0	0	0.0000041767007	0	0.2663527	0.26112062	0.35925665
5_gb_bin.145	0.07324332	0.057419714	0.066178285	0.0017454621	0.03377101	0.00030108288	0.00054265995	0.02225179	0.02926121	0.08328654
5_gb_bin.146	0.00011654334	0.00030170937	0.000047688885	0.00025491018	0.000007689915	0.00016634798	0.00017464066	0.00035214832	0.00042768102	0.2081641
5_gb_bin.147	0.5661071	0.0000043579316	0.000014605724	0.0018370091	0.000227582	0.0011367932	0.0013003151	0.0037908973	0.30780315	0.0957555
5_gb_bin.148	0.03290502	0.08120807	1.2243174	0.39490536	0.0024161492	0.2679483	0.115494944	0.6169931	0.26513535	0.8064991
5_gb_bin.149	0.0039534774	0.004453379	0.002614219	0.0022925008	0.0013919289	0.0036158273	0.0055050827	0.0027288185	0.3773686	0.0022135149
5_gb_bin.14	0.65476245	0.17455445	0.04265269	0.020502798	0.14078963	0.7321684	0.027490206	0.3158095	0.46829116	0.18883137
5_gb_bin.150	0.00025593053	0.0040646945	0.0041449	0.0043784673	0.0007923053	0.00090347324	0.0017880393	0.11072372	0.011725011	0.2755776
5_gb_bin.151	0.0001642805	0.006798853	0.00023370059	0.003287621	0.00052503793	0.00003752807	0.0013326845	0.30327863	0.005873094	0.0027236894
5_gb_bin.152	0.2556431	0.14644784	0.089003436	0.02345104	0.011775848	0.09345965	0.07360143	0.113664925	0.043389935	0.13509999
5_gb_bin.153	0.48710927	3.053237	1.9769281	0.0027938979	0.0029298612	0.0040719165	0.003061077	0.0040092687	0.02266812	0.016712727
5_gb_bin.154	0.0027410397	0.15985139	0.010791266	0.036280867	0.0018748551	0.0042455634	0.016551495	0.017255122	0.0041364087	0.44231394
5_gb_bin.155	0.00003472099	0.00015630554	0	0.000056984965	0.00019533181	0.000014550678	0.00004342437	0.0068966043	1.0012895	0.000017981734
5_gb_bin.156	0.003843453	0.12858087	0.08089673	0.037576564	0.022894483	0.0038405287	0.05298105	0.006335803	0.013622516	0.0041141883
5_gb_bin.157	0.48560625	0.25224644	1.601206	0.75051254	0.01053113	0.001310305	0.0023545483	0.01735716	0.21272893	0.009249821
5_gb_bin.158	0.0037531876	0.0039026774	0.0014143578	0.0012999092	0.0018125355	0.00066857954	0.000553059	0.001715928	0.0042521693	0.3841826
5_gb_bin.159	0.000007252101	0.33643135	0	0.00023784241	0.00044513863	0.000007521807	0.000013064409	0.00018910854	0.0025724291	0.019575678
5_gb_bin.15	0.021360831	0.35968688	1.8739591	0.05318897	0.8870667	0.02800887	0.77504295	0.5215507	0.5244731	1.2677963
5_gb_bin.160	0.00063550763	0.0016688971	0.0002591751	0.000029417974	0.0014142533	0.000045952922	0.00039985124	0.0039186273	0.0314897	0.8113074
5_gb_bin.161	0.27844816	0.0000134835445	0.00065326045	0.00001816397	0.002968235	0.00009439509	0.0000138210635	0.00014232137	0.0011437007	0.000016145177
5_gb_bin.162	0.49769783	0.802867	0.22591138	0.53201866	0.22278121	0.5248805	0.5144186	0.4965734	0.78125834	0.5760278
5_gb_bin.163	0.004248155	0.00082257966	0.008313954	0.0007930856	0.001802728	0.0010559228	0.0016019918	0.20288849	0.06861937	0.026676927
5_gb_bin.164	0.101650715	0.03164674	0.19309366	0.1315376	0.035234623	0.91780794	0.014645418	0.1459971	0.023047213	0.3327206
5_gb_bin.165	0.00006866167	0.0007593977	0.0008050434	0.0010324484	0.00012743594	0.00014092322	0.00020038396	0.26730958	0.0017792761	0.15556598
5_gb_bin.166	0.07345794	0.0054753837	0.013486377	0.30291367	0.009410952	0.027901744	0.007355849	0.0021267696	0.025863511	0.005874706
5_gb_bin.167	0.012554949	1.3069537	0.000108626315	0.000093256764	0.000045026292	0.00005647299	0.00007742347	0.0003794154	0.0052195927	0.00016973611
5_gb_bin.168	0.07532497	1.3438365	0.06379878	0.13241923	0.111449085	0.026182642	0.26599166	0.025175344	0.02001299	0.014073568
5_gb_bin.169	0.13707036	0.82661873	0.20178103	0.43798935	0.13571578	0.3960139	0.007111386	0.25628605	0.2817552	0.47189078
5_gb_bin.16	0.2048492	1.4423803	0.8145963	0.55445564	0.8414003	1.5515769	5.251175	1.5781289	0.27465332	0.25896508
5_gb_bin.170	0.6380932	0.000614408	0.003759529	0.13212149	0.0007074581	0.03442105	0.34269974	0.2284892	0.81482154	0.00053945684
5_gb_bin.171	0.9343918	0.93571365	0.43457115	0.06033028	0.04037666	0.10560311	1.3486997	0.38994318	0.14993836	0.7218829
5_gb_bin.172	0.14226538	0.3918444	0.000056827947	0.058873575	0.1368639	0.0012429716	0.035157748	0.0063862805	0.29045203	0.029668063
5_gb_bin.173	0.035090562	0.6544089	0.013693523	0.0073977937	0.08053817	0.0042374902	0.0037277061	0.017894605	0.0315151	0.011905182
5_gb_bin.174	0.0039012493	0.0011043345	0.0046361	0.16338558	0.05274363	0.00014245328	0.00019603455	0.135474	0.117310345	0.0005177439
5_gb_bin.175	1.1412103	0.17516644	0.027546067	0.504772	0.48389846	0.77262604	0.17967278	0.3148086	0.09222066	0.08138824
5_gb_bin.176	0.000107037835	0.082347974	0.00030842415	0.043311764	0.4914991	0.0022330263	0.031707868	0.0047538434	0.0051067728	0.0008548145
5_gb_bin.177	0.066223994	2.1359134	0.029285666	0.033954177	0.018498413	0.04915083	0.035233334	0.11774007	2.294266	2.9986465
5_gb_bin.178	0.021577206	0.13408585	0.03505457	0.026875207	0.013955267	0.112910405	0.06843689	0.14972071	0.050503578	0.033698667
5_gb_bin.179	0.059426364	0.1209797	0.0016470806	1.8142762	0.036500048	13.934508	0.46098733	0.4150614	0.38540927	0.08499149
5_gb_bin.17	0.0071271053	0.031227576	0.014965958	0.024844192	0.12204793	0.014473377	0.018339422	1.3635129	0.023980925	0.086013064
5_gb_bin.180	0.13637084	0.07615588	0.04707991	0.013233966	1.6607255	0.34059164	0.035631273	0.234819	0.6935633	0.15510088
5_gb_bin.181	0.0777889	0.5734306	0.71293795	0.8845842	0.38360053	0.62168723	1.5090123	0.023626234	0.5498527	0.04313411
5_gb_bin.182	0.25154057	0.44701362	0.00011130976	0.00003984481	0.000108605724	0.000012372568	0.00044417815	0.0030735577	0.003106914	0.018274179
5_gb_bin.183	0.37988842	0.05304413	0.0005722238	0.0008654936	0.0006073469	0.00035998583	0.0009886156	0.00094038085	0.08639491	0.002436624
5_gb_bin.184	0.016250363	0.105764925	0.010568018	0.037569962	0.080588445	0.19669302	0.0046535926	0.0016252502	0.012632687	0.01871613
5_gb_bin.185	0.00052276585	0.00153036	0.0008731938	0.00053613813	0.0006415643	0.00027296666	0.0005210593	0.13523087	0.36299658	0.0010081764
5_gb_bin.186	0.012471522	0.10756275	0.0036701139	0.015051791	0.1104342	0.00043926673	0.0066966554	0.022458024	0.039276667	0.014117262
5_gb_bin.187	0.08241406	0.06780143	0.04749603	0.016783616	0.04377609	0.0025963301	0.04012713	0.012443345	0.14781174	0.44056302
5_gb_bin.188	0.005156961	0.5362489	0.0076204953	0.024261089	0.008522386	0.008495185	0.013900759	0.098937124	0.026798338	0.010506286
5_gb_bin.189	0.010607109	0.01262685	0.61497194	0.007310095	0.0038601288	0.3903309	0.011335274	0.53155535	0.011082697	0.030993892
5_gb_bin.18	1.0206033	0.0010865367	0.000056535362	0.0007009889	0.00016864148	0.000047440946	0.00092847226	0.03620127	0.05606249	0.073367
5_gb_bin.190	0.017628368	0.0012971547	0.001174923	0.0025329683	0.0013928874	0.6523075	0.0023359447	0.0073747835	0.018109072	0.004050049
5_gb_bin.191	10.266076	0.000037144135	0.00024114698	0.00008383306	0.00024832948	0.0069583966	0.000016381422	0.001534456	0.00037753713	0.00018042431
5_gb_bin.192	0.00033284686	0.000023661732	0.00041697244	0.00087586936	0.0008056518	0.00016672401	0.0008117167	0.024851993	0.3199703	0.0010821206
5_gb_bin.193	0.0017409935	0.0031765995	0.0059941467	0.0038689063	0.003102298	0.0042667324	0.2926339	0.0023402458	0.0037911534	0.0014552524
5_gb_bin.194	0.036409397	0.31442693	0.34251395	0.7059091	2.9203622	3.6834767	0.5979346	0.86540204	0.5576293	1.1300584
5_gb_bin.195	0.007711722	0.3822366	0.0045997454	0.0039841034	0.061825473	0.00033964336	0.005833852	0.00035836868	0.017793441	0.0030990425
5_gb_bin.196	1.230845	0.0013232696	0.014699032	0.000011113012	0.06410952	0.0012592443	0.00083381106	0.0020308595	0.0026000042	0.0000642523
5_gb_bin.197	0.0003545011	0.00093720626	0.030587874	0.0021280707	0.00036393577	0.0005966879	0.0008433174	0.2442519	0.03701079	0.119509734
5_gb_bin.198	0.0032394566	0.0031853293	0.0056304513	0.01595449	0.024258457	0.0010114097	0.0032923992	0.0055696876	0.57162386	0.0013933211
5_gb_bin.199	0.0000066814646	0.000012176338	0.00001673376	0.00029121953	0.000029445448	0.00007251148	0	0.34322906	0.00006416242	0.00013791893
