run,Latitude,Longitude,ABS_latit,log2sum_RPKM,SMN30cm_1,haiba,totP,cec_0.30_mean,nitrogen_0.30_mean,phh2o_0.30_mean,annual_solar_radiation,annual_average_temp,geo_continent,geo_loc_me5,geo_loc_me,RPKM_16S,log2_RPKM_16S,sum-RPKM,CN30cm_1,SMC30cm_1,annual_average_prec,labP,orgP,soc_0.30_mean
SRR10028495,-1.92777779,103.2593889,1.92777779,11.42316319,16.7159996,44,321.8891602,122.8633397,200.8414332,4.636152522,199224,26.49333334,Asia,Asia,Indonesia: Jambi,1344.47,10.39282185,2746.09,4.22490406,70.62349701,2674,34.7212944,49.01543808,564.4841715
SRR10028496,-1.94329018,102.5811431,1.94329018,11.62837263,5.347829819,86,206.9999847,124.6633097,204.4255422,4.575341797,198240,26.10766681,Asia,Asia,Indonesia: Jambi,1567.5,10.61424973,3165.84,16.89335632,90.34279633,2922,14.29995537,54.27410507,535.5607402
SRR10028497,-2.18755552,103.3426111,2.18755552,11.83429327,5.381720066,63,206.9999847,167.0193787,208.322436,4.638034693,200464,26.32333342,Asia,Asia,Indonesia: Jambi,2338.21,11.19118879,3651.55,16.8870182,90.8812027,2687,14.29995537,54.27410507,790.9837646
SRR10028498,-2.17502776,103.3327222,2.17502776,11.35498762,5.381720066,81,206.9999847,162.7811127,207.7400462,4.660900116,199932,26.22499975,Asia,Asia,Indonesia: Jambi,1741.53,10.76613961,2619.34,16.8870182,90.8812027,2704,14.29995537,54.27410507,825.3231201
SRR10028499,-2.15816664,103.33375,2.15816664,11.2168186,5.381720066,66,206.9999847,155.6607615,223.0822449,4.643401718,200281,26.31366682,Asia,Asia,Indonesia: Jambi,1582.18,10.62769803,2380.12,16.8870182,90.8812027,2677,14.29995537,54.27410507,645.2725016
SRR10028500,-2.15275,103.3504167,2.15275,11.67680776,5.381720066,66,206.9999847,163.4217377,219.9295146,4.752008184,200281,26.31366682,Asia,Asia,Indonesia: Jambi,2261.01,11.14275166,3273.93,16.8870182,90.8812027,2677,14.29995537,54.27410507,591.2063904
SRR10028501,-2.07725898,102.7731989,2.07725898,10.91752126,8.655670166,50,206.9999847,158.2281342,200.5806986,4.560375468,198563,26.36733325,Asia,Asia,Indonesia: Jambi,1563.7,10.61074804,1934.2,5.32595396,46.09970093,2920,14.29995537,54.27410507,702.7342529
SRR10028502,-2.0960072,102.7832653,2.0960072,11.26030211,8.655670166,49,206.9999847,150.3607229,207.7898407,4.630496089,198612,26.3846666,Asia,Asia,Indonesia: Jambi,1542.58,10.5911296,2452.95,5.32595396,46.09970093,2937,14.29995537,54.27410507,571.3827515
SRR10028503,-2.08533922,102.7895367,2.08533922,10.90492057,8.655670166,49,206.9999847,159.0674998,207.1075439,4.528591156,198612,26.3846666,Asia,Asia,Indonesia: Jambi,1232.22,10.26704414,1917.38,5.32595396,46.09970093,2937,14.29995537,54.27410507,639.2400309
SRR10028504,-2.09240667,102.8030459,2.09240667,11.38001726,8.655670166,54,206.9999847,141.6234436,201.138031,4.785430145,198582,26.3653334,Asia,Asia,Indonesia: Jambi,1107.92,10.113638,2665.18,5.32595396,46.09970093,2918,14.29995537,54.27410507,632.1755168
