0Run,Latitude,Longitude,ABS_latit,log2sum_RPKM,salinity,phosphate,density,nitrate,Depth,oxygen_sensor,temperature,O2sat,conductivity,AOU,silicate,Present.Surface.Calcite.Mean.BOv2_2,Present.Surface.Chlorophyll.Mean,Present.Surface.Iron.Mean,Present.Surface.Par.Mean.BOv2_2,Present.Surface.pH.BOv2_2,Present.Surface.Phytoplankton.Mean,Present.Surface.Primary.productivity.Mean,geo_loc_name4,geo_loc_name5,log2_RPKM_16S,sum-RPKM
ERR7460763,36.5212,126.526,36.5212,9.722466024,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,Pacific,Pacific,8.108968697,844.8
ERR7460764,36.5212,126.526,36.5212,9.803775952,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,Pacific,Pacific,9.114210836,893.78
ERR7460765,36.5311,126.5256,36.5311,11.90326804,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,Pacific,Pacific,9.757224978,3830.37
ERR7460766,36.5312,126.5253,36.5312,12.1425347,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,Pacific,Pacific,10.10913852,4521.34
ERR7460767,36.5255,126.162,36.5255,10.48834228,,,,,,,,,,,,0.012479,0.53849,0.002538,32.31200027,7.974999905,3.137985,0.011826,Pacific,Pacific,9.073726528,1436.5
ERR7460768,36.5257,126.1727,36.5257,10.57212227,,,,,,,,,,,,0.012932,0.555171,0.002479,32.57099915,7.968999863,3.199071,0.013042,Pacific,Pacific,8.725877459,1522.39
ERR7460769,36.5358,126.1727,36.5358,10.54796451,,,,,,,,,,,,0.012932,0.555171,0.002479,32.57099915,7.968999863,3.199071,0.013042,Pacific,Pacific,9.007074935,1497.11
ERR7460770,36.53,126.1721,36.53,10.24015927,,,,,,,,,,,,0.012932,0.555171,0.002479,32.57099915,7.968999863,3.199071,0.013042,Pacific,Pacific,8.792035406,1209.47
ERR7460771,36.5357,126.1719,36.5357,12.07584011,,,,,,,,,,,,0.012932,0.555171,0.002479,32.57099915,7.968999863,3.199071,0.013042,Pacific,Pacific,9.94782685,4317.08
ERR771040,51.37485,3.218333,51.37485,5.368768349,32.3383,,,,3,,18.4817,,,,,0.04146,1.066275,0.004009,28.63800049,8.18900013,4.862889,0.022895,Atlantic,Atlantic,7.123117799,41.32
ERR771045,38.41333,27.03421,38.41333,0,38.301,,,,2,,25.7352,,,,,0.004803,0.255459,0.002999,37.37799835,8.220999718,1.606472,0.007971,Atlantic,Atlantic,7.902881552,0
ERR868346,32.931,-121.8645,32.931,10.65331982,33.494955,0.416888088,24.73111916,1.087485194,30,222.43615,17.27271,101.3709641,4.154324532,-3.310446501,2.89530921,0.000163,0.18833,1.60E-05,36.6780014,8.175999641,1.56941,0.004558,Pacific,Pacific,9.255165513,1610.53
ERR868347,6.671,-153.0658,6.671,10.07332486,34.758825,0.310673982,22.15036964,0.94164592,5,184.932,28.327,101.9482956,5.551830292,-3.630644083,1.892011285,7.60E-05,0.156352,9.00E-06,41.15100098,8.218999863,1.310632,0.0057,Pacific,Pacific,9.592214076,1077.39
ERR868350,-17.2855,42.2866,17.2855,11.10821733,35.11618805,0.304873973,23.68133545,1.682523131,66,190.9649,26.34018,97.29334259,5.373260498,5.940953732,3.746240616,8.20E-05,0.078468,0.000344,46.42900085,8.211999893,0.909435,0.0024,Indian,Indian,9.909788102,2207.53
ERR868351,34.6712,-71.3093,34.6712,9.894681368,36.4626,0.109213024,24.83328819,0.355369776,5,214.365,19.1288,101.315094,5.366938114,-3.174969912,1.089424491,9.80E-05,0.396785,0.00056,34.30199814,8.244000435,1.506196,0.007496,Atlantic,Atlantic,9.549054955,951.91
ERR868352,-8.9111,-142.5571,8.9111,10.13567081,35.427733,0.432328671,22.87677002,2.520498037,5,187.302833,26.780158,101.5063248,5.69884491,-2.869998932,0.904410779,7.60E-05,0.16198,8.00E-06,49.38600159,8.187999725,1.46128,0.006346,Pacific,Pacific,9.83263847,1124.97
ERR868354,35.9346,-37.3032,35.9346,9.524972598,36.3123,0.050942201,25.6260891,0.088193119,5,228.375583,17.583075,104.3728867,5.094742298,-7.60517931,1.355581164,0.000104,0.091984,0.000147,37.20899963,8.237999916,0.767553,0.001714,Atlantic,Atlantic,9.118110506,736.72
ERR868355,-9.3921,66.4228,9.3921,10.91142944,34.1689,0.217085496,22.26612854,0.315967828,5,187.2575,29.818233,100.7445755,5.592360973,-1.50434649,4.001572132,7.60E-05,0.109296,1.90E-05,45.87400055,8.236000061,1.090923,0.003224,Indian,Indian,9.837012883,1926.05
ERR868356,39.3888,19.3905,39.3888,11.45079885,38.182917,0.051667456,27.5859623,0.371228546,5,218.016833,18.342533,101.239296,5.229931355,-2.386362076,2.104361773,8.80E-05,0.067777,0.001984,36.40499878,8.256999969,0.742248,0.000722,Atlantic,Atlantic,9.719792651,2799.2
ERR868357,-5.2529,-85.1545,5.2529,9.849279984,34.748175,0.816430092,24.07598305,6.926757336,5,205.992583,24.943108,98.17098236,5.143867016,5.168703556,6.089833736,0.00022,0.255936,4.60E-05,45.25799942,8.18999958,1.658391,0.013811,Pacific,Pacific,9.046493789,922.42
ERR868361,-64.3183,-53.1081,64.3183,10.26867065,34.159479,1.958293319,27.81441307,28.8665905,35,321.804765,-1.6529,85.37417603,2.723664522,53.74859619,71.7412796,0.000154,0.396056,0.000241,27.70299911,8.161999702,1.555093,0.002414,Atlantic,Southern Ocean,9.441749047,1233.61
