sample	coverage	taxonomy
Novel_genomes_no_reference_R1	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
Novel_genomes_no_reference_R1	0.34	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Midichloriaceae
Novel_genomes_no_reference_R1	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Anaplasmataceae
Novel_genomes_no_reference_R1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Cellvibrionaceae
Novel_genomes_no_reference_R1	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae
Novel_genomes_no_reference_R1	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae
Novel_genomes_no_reference_R1	0.35	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae
Novel_genomes_no_reference_R1	0.23	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_A; f__Alteromonadaceae
Novel_genomes_no_reference_R1	3.99	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae
Novel_genomes_no_reference_R1	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Chromatiales; f__Sedimenticolaceae
Novel_genomes_no_reference_R1	0.4	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae
Novel_genomes_no_reference_R1	0.06	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Thermoflexibacteraceae
Novel_genomes_no_reference_R1	0.41	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae
Novel_genomes_no_reference_R1	0.06	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae
Novel_genomes_no_reference_R1	0.8	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae
Novel_genomes_no_reference_R1	0.06	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae
Novel_genomes_no_reference_R1	0.11	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae
Novel_genomes_no_reference_R1	1.16	Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Nannocystales; f__Nannocystaceae
Novel_genomes_no_reference_R1	0.45	Root; d__Bacteria; p__Caldisericota; c__Caldisericia; o__B22-G15; f__B22-G15
Novel_genomes_no_reference_R1	0.57	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Leptolyngbyales; f__Leptolyngbyaceae
Novel_genomes_no_reference_R1	0.17	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae
Novel_genomes_no_reference_R1	2.91	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Cyanobacteriales; f__Nostocaceae
Novel_genomes_no_reference_R1	0.4	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Cyanobacteriales; f__Phormidiaceae_A
Novel_genomes_no_reference_R1	0.06	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Cyanobacteriales; f__Microcoleaceae
Novel_genomes_no_reference_R1	0.74	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Cyanobacteriales; f__Coleofasciculaceae
Novel_genomes_no_reference_R1	0.45	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Elainellales; f__Elainellaceae
Novel_genomes_no_reference_R1	0.17	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobulbia; o__Desulfobulbales; f__Desulfocapsaceae
Novel_genomes_no_reference_R1	0.11	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfolunaceae
Novel_genomes_no_reference_R1	0.4	Root; d__Bacteria; p__Bacillota_A; c__Thermosediminibacteria; o__Thermosediminibacterales; f__Thermosediminibacteraceae
Novel_genomes_no_reference_R1	0.11	Root; d__Bacteria; p__Patescibacteria; c__JAEDAM01; o__Absconditabacterales; f__Absconditicoccaceae
Novel_genomes_no_reference_R1	1.74	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Isosphaerales; f__Isosphaeraceae
Novel_genomes_no_reference_R1	0.4	Root; d__Bacteria; p__Bacillota_D; c__Dethiobacteria; o__SKNC01; f__SKNC01
Novel_genomes_no_reference_R1	0.07	Root; d__Bacteria; p__Calditrichota; c__Calditrichia; o__JAJRVZ01; f__JAJRVZ01
Novel_genomes_no_reference_R1	0.85	Root; d__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia; o__Thermodesulfovibrionales; f__Magnetobacteriaceae
Novel_genomes_no_reference_R1	0.23	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Treponematales; f__Treponemataceae
Novel_genomes_no_reference_R1	0.65	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales; f__Micromonosporaceae; g__Actinoplanes
Novel_genomes_no_reference_R1	1.3	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__Palsa-688; g__JAKAQB01
Novel_genomes_no_reference_R1	0.31	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Thermohalobaculum
Novel_genomes_no_reference_R1	3.0	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__HK1; f__JABDQX01; g__JABDQX01
Novel_genomes_no_reference_R1	0.41	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Hymenobacter
Novel_genomes_no_reference_R1	0.02	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Aestuariivivens
Novel_genomes_no_reference_R1	0.84	Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Nannocystales; f__Nannocystaceae; g__Plesiocystis
Novel_genomes_no_reference_R1	1.76	Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Nannocystales; f__Nannocystaceae; g__Enhygromyxa
Novel_genomes_no_reference_R1	2.67	Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Nannocystales; f__Nannocystaceae; g__Ga0077550
Novel_genomes_no_reference_R1	1.98	Root; d__Bacteria; p__Caldisericota; c__Caldisericia; o__B22-G15; f__B22-G15; g__JAAYUH01
Novel_genomes_no_reference_R1	0.46	Root; d__Bacteria; p__Caldisericota; c__Caldisericia; o__B22-G15; f__B22-G15; g__B22-G15
Novel_genomes_no_reference_R1	0.31	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__PCC-6307; f__Cyanobiaceae; g__Synechococcus_B
Novel_genomes_no_reference_R1	2.5	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Magnetomoraceae; g__Magnetomorum
Novel_genomes_no_reference_R1	1.08	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Nanoperiomorbaceae; g__Nanoperiomorbus
Novel_genomes_no_reference_R1	2.16	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Nanogingivalaceae; g__Nanogingivalis
Novel_genomes_no_reference_R1	1.65	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadaceae; g__Saccharimonas
Novel_genomes_no_reference_R1	3.01	Root; d__Bacteria; p__Bacillota_D; c__Dethiobacteria; o__SKNC01; f__SKNC01; g__SKLX01
Novel_genomes_no_reference_R1	2.25	Root; d__Bacteria; p__Calditrichota; c__Calditrichia; o__JAJRVZ01; f__JAJRVZ01; g__JAGLYF01
Novel_genomes_no_reference_R1	0.6	Root; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Methylomirabilales; f__Methylomirabilaceae; g__Methylomirabilis
Novel_genomes_no_reference_R1	3.12	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Herbiconiux; s__Herbiconiux sp000333435
Novel_genomes_no_reference_R1	2.55	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales; f__Micromonosporaceae; g__Actinoplanes; s__Actinoplanes sp020216025
Novel_genomes_no_reference_R1	1.06	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales; f__Micromonosporaceae; g__Actinoplanes; s__Actinoplanes regularis
Novel_genomes_no_reference_R1	2.9	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Nitriliruptorales; f__Nitriliruptoraceae; g__Salsipaludibacter; s__Salsipaludibacter albus
Novel_genomes_no_reference_R1	2.61	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Streptomycetales; f__Streptomycetaceae; g__Yinghuangia; s__Yinghuangia sp021165735
