sample	coverage	taxonomy
Novel_genomes_placement_ani_R1	0.97	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__Palsa-688; g__JAKAQB01
Novel_genomes_placement_ani_R1	2.61	Root; d__Bacteria; p__Bacillota_D; c__Dethiobacteria; o__SKNC01; f__SKNC01; g__SKLX01
Novel_genomes_placement_ani_R1	1.57	Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Nannocystales; f__Nannocystaceae; g__Enhygromyxa
Novel_genomes_placement_ani_R1	0.7	Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Nannocystales; f__Nannocystaceae; g__Plesiocystis
Novel_genomes_placement_ani_R1	1.83	Root; d__Bacteria; p__Caldisericota; c__Caldisericia; o__B22-G15; f__B22-G15; g__JAAYUH01
Novel_genomes_placement_ani_R1	0.5	Root; d__Bacteria; p__Caldisericota; c__Caldisericia; o__B22-G15; f__B22-G15; g__B22-G15
Novel_genomes_placement_ani_R1	0.15	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Aestuariivivens
Novel_genomes_placement_ani_R1	0.16	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Avibacteroides
Novel_genomes_placement_ani_R1	2.27	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Magnetomoraceae; g__Magnetomorum
Novel_genomes_placement_ani_R1	0.27	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Thermohalobaculum
Novel_genomes_placement_ani_R1	0.05	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Methylopilaceae; g__Hansschlegelia
Novel_genomes_placement_ani_R1	2.05	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__HK1; f__JABDQX01; g__JABDQX01
Novel_genomes_placement_ani_R1	1.76	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Nanogingivalaceae; g__Nanogingivalis
Novel_genomes_placement_ani_R1	0.3	Root; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Methylomirabilales; f__Methylomirabilaceae; g__Methylomirabilis
Novel_genomes_placement_ani_R1	3.24	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Herbiconiux; s__Herbiconiux sp000333435
Novel_genomes_placement_ani_R1	3.31	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales; f__Micromonosporaceae; g__Actinoplanes; s__Actinoplanes sp020216025
Novel_genomes_placement_ani_R1	0.9	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales; f__Micromonosporaceae; g__Actinoplanes; s__Actinoplanes regularis
Novel_genomes_placement_ani_R1	2.05	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__JAAYBP01; g__Iamia; s__Iamia sp019443745
Novel_genomes_placement_ani_R1	3.01	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__Anaerotardibacter; s__Anaerotardibacter muris
Novel_genomes_placement_ani_R1	2.62	Root; d__Bacteria; p__Acidobacteriota; c__HRBIN11; o__MFGW01; f__MFGW01; g__MFGW01; s__MFGW01 sp001780385
